lib	unit	sample	fq1	fq2
lib1	1	210047	fastqs/lib1/210047_1.fq.gz	fastqs/lib1/210047_2.fq.gz
lib1	1	210073	fastqs/lib1/210073_1.fq.gz	fastqs/lib1/210073_2.fq.gz
lib1	1	210191	fastqs/lib1/210191_1.fq.gz	fastqs/lib1/210191_2.fq.gz
lib1	1	210235	fastqs/lib1/210235_1.fq.gz	fastqs/lib1/210235_2.fq.gz
lib1	1	221106	fastqs/lib1/221106_1.fq.gz	fastqs/lib1/221106_2.fq.gz
lib1	1	211751	fastqs/lib1/211751_1.fq.gz	fastqs/lib1/211751_2.fq.gz
lib1	1	211789	fastqs/lib1/211789_1.fq.gz	fastqs/lib1/211789_2.fq.gz
lib1	1	211776	fastqs/lib1/211776_1.fq.gz	fastqs/lib1/211776_2.fq.gz
lib1	1	OSF_E9	fastqs/lib1/OSF_E9_1.fq.gz	fastqs/lib1/OSF_E9_2.fq.gz
lib1	1	OSF_E11	fastqs/lib1/OSF_E11_1.fq.gz	fastqs/lib1/OSF_E11_2.fq.gz
lib1	1	OSF_E18	fastqs/lib1/OSF_E18_1.fq.gz	fastqs/lib1/OSF_E18_2.fq.gz
lib1	1	OSF_E19	fastqs/lib1/OSF_E19_1.fq.gz	fastqs/lib1/OSF_E19_2.fq.gz
lib1	1	OSF_E146	fastqs/lib1/OSF_E146_1.fq.gz	fastqs/lib1/OSF_E146_2.fq.gz
lib1	1	OSF_E148	fastqs/lib1/OSF_E148_1.fq.gz	fastqs/lib1/OSF_E148_2.fq.gz
lib1	1	OSF_E231	fastqs/lib1/OSF_E231_1.fq.gz	fastqs/lib1/OSF_E231_2.fq.gz
lib1	1	OSF_E233	fastqs/lib1/OSF_E233_1.fq.gz	fastqs/lib1/OSF_E233_2.fq.gz
lib1	1	OSF_E239	fastqs/lib1/OSF_E239_1.fq.gz	fastqs/lib1/OSF_E239_2.fq.gz
lib1	1	OSF_E241	fastqs/lib1/OSF_E241_1.fq.gz	fastqs/lib1/OSF_E241_2.fq.gz
lib1	1	OSF_E242	fastqs/lib1/OSF_E242_1.fq.gz	fastqs/lib1/OSF_E242_2.fq.gz
lib1	1	OSF_E381	fastqs/lib1/OSF_E381_1.fq.gz	fastqs/lib1/OSF_E381_2.fq.gz
lib1	1	OSF_ERAAU_1	fastqs/lib1/OSF_ERAAU_1_1.fq.gz	fastqs/lib1/OSF_ERAAU_1_2.fq.gz
lib1	1	RACA_S10A	fastqs/lib1/RACA_S10A_1.fq.gz	fastqs/lib1/RACA_S10A_2.fq.gz
lib1	1	DEEX_C01	fastqs/lib1/DEEX_C01_1.fq.gz	fastqs/lib1/DEEX_C01_2.fq.gz
lib1	1	WRH2_A01	fastqs/lib1/WRH2_A01_1.fq.gz	fastqs/lib1/WRH2_A01_2.fq.gz
lib1	1	WRH2_B01	fastqs/lib1/WRH2_B01_1.fq.gz	fastqs/lib1/WRH2_B01_2.fq.gz
lib1	1	WRH2_H01	fastqs/lib1/WRH2_H01_1.fq.gz	fastqs/lib1/WRH2_H01_2.fq.gz
lib1	1	WRH2_I02	fastqs/lib1/WRH2_I02_1.fq.gz	fastqs/lib1/WRH2_I02_2.fq.gz
lib1	1	WRH2_J01	fastqs/lib1/WRH2_J01_1.fq.gz	fastqs/lib1/WRH2_J01_2.fq.gz
lib1	1	KM_NWR_MC2_EM01_A1	fastqs/lib1/KM_NWR_MC2_EM01_A1_1.fq.gz	fastqs/lib1/KM_NWR_MC2_EM01_A1_2.fq.gz
lib1	1	KM_NWR_MC3_EM1_A1	fastqs/lib1/KM_NWR_MC3_EM1_A1_1.fq.gz	fastqs/lib1/KM_NWR_MC3_EM1_A1_2.fq.gz
lib1	1	KM_NWR_MC3_EM2_A1	fastqs/lib1/KM_NWR_MC3_EM2_A1_1.fq.gz	fastqs/lib1/KM_NWR_MC3_EM2_A1_2.fq.gz
lib1	1	KM_NWR_MC5_EM01_A1	fastqs/lib1/KM_NWR_MC5_EM01_A1_1.fq.gz	fastqs/lib1/KM_NWR_MC5_EM01_A1_2.fq.gz
lib1	1	KM_NWR_MC5_EM04_A1	fastqs/lib1/KM_NWR_MC5_EM04_A1_1.fq.gz	fastqs/lib1/KM_NWR_MC5_EM04_A1_2.fq.gz
lib1	1	KM_NWR_MC5_EM05_A1	fastqs/lib1/KM_NWR_MC5_EM05_A1_1.fq.gz	fastqs/lib1/KM_NWR_MC5_EM05_A1_2.fq.gz
lib1	1	KM_PEN_RD_EM2_A1	fastqs/lib1/KM_PEN_RD_EM2_A1_1.fq.gz	fastqs/lib1/KM_PEN_RD_EM2_A1_2.fq.gz
lib1	1	KM_PEN_RD_EM4_A1	fastqs/lib1/KM_PEN_RD_EM4_A1_1.fq.gz	fastqs/lib1/KM_PEN_RD_EM4_A1_2.fq.gz
lib1	1	KM_PEN_RD_EM7_A1	fastqs/lib1/KM_PEN_RD_EM7_A1_1.fq.gz	fastqs/lib1/KM_PEN_RD_EM7_A1_2.fq.gz
lib1	1	KMNWRCHOLO_EM03_A1	fastqs/lib1/KMNWRCHOLO_EM03_A1_1.fq.gz	fastqs/lib1/KMNWRCHOLO_EM03_A1_2.fq.gz
lib1	1	KMNWRCHOLO_EM04_A1	fastqs/lib1/KMNWRCHOLO_EM04_A1_1.fq.gz	fastqs/lib1/KMNWRCHOLO_EM04_A1_2.fq.gz
lib1	1	KM_CHOL_EM6_A1	fastqs/lib1/KM_CHOL_EM6_A1_1.fq.gz	fastqs/lib1/KM_CHOL_EM6_A1_2.fq.gz
